repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
deepseek-ai/DeepSeek-LLM,Model repo,,1386,,,,,89,DeepSeek LLM: Let there be answers,"DeepSeekPH, stack-heap-overflow, zdaxie",7,2023-11-29,2024-02-04,0
THUDM/SwissArmyTransformer,Model repo,,953,,,,,90,SwissArmyTransformer is a flexible and powerful library to develop your own Transformer variants.,"1049451037, dm-thu, Sleepychord",23,2021-10-06,2024-02-01,0
netease-youdao/BCEmbedding,Model repo,,1355,,,,,90,Netease Youdao's open-source embedding and reranker models for RAG products.,"shenlei1020, tpoisonooo, Guochengjie",5,2024-01-02,2024-09-06,0
EgoAlpha/prompt-in-context-learning,Lists,,1472,,,,,90,"Awesome resources for in-context learning and prompt engineering: Mastery of the LLMs such as ChatGPT, GPT-3, and FlanT5, with up-to-date and cutting-edge updates.","EgoAlpha, cyfedu-dlut, GeshengSunDUT",4,2023-03-08,2023-11-01,0
apple/ml-4m,Model repo,,1539,,,,,90,4M: Massively Multimodal Masked Modeling,"roman-bachmann, dmizr, ofkar",7,2024-04-08,2024-07-05,0
instill-ai/vdp,AI engineering,AIE framework,2059,,,,,90,"🔮 Instill Core is a full-stack AI infrastructure tool for data, model and pipeline orchestration, designed to streamline every aspect of building versatile AI-first applications","pinglin, donch1989, xiaofei-du",23,2022-01-13,2024-09-11,0
gabrielchua/RAGxplorer,AI engineering,AIE framework,1058,,,,,91,Open-source tool to visualise your RAG 🔮,"gabrielchua, vince-lam, dan-s-mueller",10,2024-01-11,2024-02-15,0
KnowledgeCanvas/knowledge,Applications,Info aggregation,1328,,,,,91,"Knowledge is a tool for saving, searching, accessing, exploring and chatting with all of your favorite websites, documents and files.","RobRoyce, jedbrooke",3,2021-07-10,2024-02-01,0
saharNooby/rwkv.cpp,Model development,Inference optimization,1393,,,,,91,INT4/INT5/INT8 and FP16 inference on CPU for RWKV language model,"ggerganov, saharNooby, MollySophia",90,2023-03-30,2024-08-07,3729
OpenMotionLab/MotionGPT,Model repo,Multimodal,1446,,,,,92,"[NeurIPS 2023] MotionGPT: Human Motion as a Foreign Language, a unified motion-language generation model using LLMs","billl-jiang, ChenFengYe, baitian752",7,2023-06-20,2024-01-05,0
YangLing0818/RPG-DiffusionMaster,AI engineering,AIE framework,1647,,,,,92,"[ICML 2024] Mastering Text-to-Image Diffusion: Recaptioning, Planning, and Generating with Multimodal LLMs (PRG)","YangLing0818, BitCodingWalkin",2,2024-01-22,1000-01-01,0
salesforce/OmniXAI,AI engineering,Evals,860,,,,,93,OmniXAI: A Library for eXplainable AI,"yangwenz, yangwenzhuo08, tanmaylaud",8,2022-02-17,2024-07-23,0
OpenBMB/VisCPM,Model repo,Multimodal,1069,,,,,93,[ICLR'24 spotlight] Chinese and English Multimodal Large Model Series (Chat and Paint) | 基于CPM基础模型的中英双语多模态大模型系列,"JamesHujy, Cppowboy, Cuiunbo",5,2023-06-30,2023-09-07,0
Yifan-Song793/RestGPT,AI engineering,Agent,1297,,,,,93,An LLM-based autonomous agent controlling real-world applications via RESTful APIs,"Yifan-Song793, WeiminXiong, Jdelbarcogarza",4,2023-08-26,2023-09-11,0
allenai/dolma,Model development,Dataset engineering,908,,,,,94,Data and tools for generating and inspecting OLMo pre-training data. ,"soldni, chris-ha458, kyleclo",21,2023-06-20,2024-09-04,0
rlancemartin/auto-evaluator,AI engineering,Evals,1049,,,,,94,Evaluation tool for LLM QA chains,"rlancemartin, eltociear, PGouy",5,2023-04-14,2023-04-21,0
THUDM/AgentTuning,AI engineering,Agent,1325,,,,,94,AgentTuning: Enabling Generalized Agent Abilities for LLMs,"lr-tsinghua11, Sengxian, Btlmd",8,2023-10-18,2023-10-28,0
Forethought-Technologies/AutoChain,AI engineering,Agent,1778,,,,,94,"AutoChain: Build lightweight, extensible, and testable LLM Agents","yyiilluu, tiangolo, xingweitian",9,2023-05-19,1000-01-01,0
safevideo/autollm,AI engineering,AIE framework,970,,,,,95,Ship RAG based LLM web apps in seconds.,"SeeknnDestroy, fcakyon, kadirnar",3,2023-09-21,2024-01-24,0
argilla-io/distilabel,Model development,Dataset engineering,1385,,,,,95,"Distilabel is a framework for synthetic data and AI feedback for engineers who need fast, reliable and scalable pipelines based on verified research papers.","gabrielmbmb, plaguss, alvarobartt",23,2023-10-16,2024-08-06,0
OpenLMLab/MOSS-RLHF,Model development,Modeling & training,1264,,,,,96,MOSS-RLHF,"Ablustrund, fakerbaby, CiaranZhou",5,2023-07-05,2024-03-03,0
jackmpcollins/magentic,AI engineering,Prompt engineering,1937,,,,,96,Seamlessly integrate LLMs as Python functions,"jackmpcollins, entropi, eltociear",8,2023-06-18,2024-08-18,0
andrewnguonly/Lumos,Applications,Workflow automation,1357,,,,,97,"A RAG LLM co-pilot for browsing the web, powered by local LLMs","andrewnguonly, billykern, eltociear",4,2023-11-13,2024-08-17,346
AGI-Edgerunners/LLM-Adapters,Model development,Modeling & training,1041,,,,,98,"Code for our EMNLP 2023 Paper: ""LLM-Adapters: An Adapter Family for Parameter-Efficient Fine-Tuning of Large Language Models""","HZQ950419, demoleiwang, LYH-YF",5,2023-03-29,2024-03-10,0
ctlllll/LLM-ToolMaker,Model repo,,1014,,,,,99,,ctlllll,1,2023-05-25,1000-01-01,0
salesforce/CodeTF,Model development,Modeling & training,1453,,,,,99,CodeTF: One-stop Transformer Library for State-of-the-art Code LLM,"bdqnghi, Paul-B98, v-i-s-h",4,2023-05-02,2024-02-28,13
PygmalionAI/aphrodite-engine,Infrastructure,Serving,921,,,,,100,Large-scale LLM inference engine,"AlpinDale, 50h100a, StefanGliga",29,2023-06-23,2024-09-08,362
JonasGeiping/cramming,Model development,Modeling & training,1284,,,,,100,Cramming the training of a (BERT-type) language model into limited compute.,"JonasGeiping, Randl, ss18",8,2022-12-29,2024-02-18,0
3DTopia/LGM,Model repo,Multimodal,1560,,,,,100,[ECCV 2024 Oral] LGM: Large Multi-View Gaussian Model for High-Resolution 3D Content Creation.,"ashawkey, brentyi, laz-kaedim",3,2024-02-06,2024-02-29,0
AetherCortex/Llama-X,Model development,Modeling & training,1586,,,,,101,Open Academic Research on Improving LLaMA to SOTA LLM,"AetherCortex, victorsungo, Wangpeiyi9979",13,2023-03-30,2023-05-03,0
evalplus/evalplus,AI engineering,Evals,1141,,,,,102,Rigourous evaluation of LLM-synthesized code - NeurIPS 2023,"ganler, Kristoff-starling, brutalsavage",16,2023-04-15,2024-06-18,2240
SamurAIGPT/Camel-AutoGPT,Applications,Bots,1152,,,,,102,"🚀 Introducing 🐪 CAMEL: a game-changing role-playing approach for LLMs and auto-agents like BabyAGI & AutoGPT! Watch two agents 🤝 collaborate and solve tasks together, unlocking endless possibilities in #ConversationalAI, 🎮 gaming, 📚 education, and more! 🔥","Anil-matcha, vadootvpeer",2,2023-04-21,1000-01-01,0
MiuLab/Taiwan-LLM,Model repo,Multilingual,1218,,,,,102,Traditional Mandarin LLMs for Taiwan,"adamlin120, yvchen, WangRongsheng",10,2023-08-10,2024-08-18,0
SqueezeAILab/LLMCompiler,AI engineering,AIE framework,1373,,,,,102,[ICML 2024] LLMCompiler: An LLM Compiler for Parallel Function Calling,"kssteven418, hwchase17, eltociear",4,2023-12-06,2024-07-10,0
smallcloudai/refact,Applications,Coding,1546,,,,,104,WebUI for Fine-Tuning and Self-hosting of Open-Source Large Language Models for Coding ,"mitya52, olegklimov, oxyplay",13,2023-04-19,2024-09-10,0
roboflow/inference,Infrastructure,Serving,1266,,,,,105,"A fast, easy-to-use, production-ready inference server for computer vision supporting deployment of many popular model architectures and fine-tuned models.","PawelPeczek-Roboflow, probicheaux, paulguerrie",40,2023-07-31,2024-09-11,0
google-research/deduplicate-text-datasets,AI engineering,Dataset engineering,1094,,,,,108,,"carlini, daphnei, alistairewj",5,2021-07-16,2024-05-21,0
IntelLabs/fastRAG,AI engineering,AIE framework,1253,,,,,110,Efficient Retrieval Augmentation and Generation Framework,"peteriz, danielfleischer, mosheber",8,2023-01-23,2024-09-01,0
evo-design/evo,Model repo,Multimodal,923,,,,,111,Biological foundation modeling from molecular to genome scale,"brianhie, Zymrael, athms",8,2024-02-17,2024-09-05,0
openai/automated-interpretability,AI engineering,Evals,942,,,,,111,,"henktillman, williamrs-openai, WuTheFWasThat",8,2023-05-08,2024-03-06,0
SkyworkAI/Skywork,Model repo,Multilingual,1206,,,,,111,"Skywork series models are pre-trained on 3.2TB of high-quality multilingual (mainly Chinese and English) and code data. We have open-sourced the model, training data, evaluation data, evaluation methods, etc.       天工系列模型在3.2TB高质量多语言和代码数据上进行预训练。我们开源了模型参数，训练数据，评估数据，评估方法。","zhao1iang, TianwenWei, eltociear",5,2023-10-10,2024-04-03,0
IntelLabs/control-flag,Model development,Dataset engineering,1242,,,,,112,A system to flag anomalous source code expressions by learning typical expressions from training data,"nhasabni, jgottschlich, jsoref",6,2021-08-04,2024-03-02,0
nerfstudio-project/nerfacc,Model development,Modeling & training,1380,,,,,112,A General NeRF Acceleration Toolbox in PyTorch.,"liruilong940607, tancik, 97littleleaf11",22,2022-09-08,2024-04-24,0
jeinlee1991/chinese-llm-benchmark,AI engineering,Evals,2337,,,,,112,中文大模型能力评测榜单：目前已囊括115个大模型，覆盖chatgpt、gpt4o、百度文心一言、阿里通义千问、讯飞星火、商汤senseChat、minimax等商用模型， 以及百川、qwen2、glm4、yi、书生internLM2、llama3等开源大模型，多维度能力评测。不仅提供能力评分排行榜，也提供所有模型的原始输出结果！,jeinlee1991,1,2023-06-04,1000-01-01,0
context-labs/autodoc,Applications,Coding,1937,,,,,113,Experimental toolkit for auto-generating codebase documentation using LLMs,"samheutmaker, andrewhong5297, 0xturboblitz",9,2023-03-22,2024-07-29,0
thunlp/UltraChat,Model development,Dataset engineering,2208,,,,,113,"Large-scale, Informative, and Diverse Multi-round Chat Data (and Models)","ningding97, yulinchen99",3,2023-04-03,2023-04-24,0
AI-Engineer-Foundation/agent-protocol,AI engineering,Agent,937,,,,,114,Common interface for interacting with AI agents. The protocol is tech stack agnostic - you can use it with any framework for building agents.,"waynehamadi, jakubno, jzanecook",14,2023-07-06,2024-06-11,0
opendilab/DI-star,Applications,Bots,1214,,,,,114,An artificial intelligence platform for the StarCraft II with large-scale distributed training and grand-master agents.,"upia99, lkwargs, ain-soph",7,2021-07-04,2024-05-06,0
pinecone-io/canopy,AI engineering,AIE framework,947,,,,,115,Retrieval Augmented Generation (RAG) framework and context engine powered by Pinecone,"igiloh-pinecone, acatav, miararoy",22,2023-08-08,2024-03-27,12
jquesnelle/yarn,Model development,Modeling & training,1301,,,,,115,YaRN: Efficient Context Window Extension of Large Language Models,"jquesnelle, bloc97, honglu2875",4,2023-06-26,2023-11-20,0
devflowinc/trieve,AI engineering,AIE framework,1348,,,,,115,"All-in-one infrastructure for search, recommendations, RAG, and analytics offered via API","skeptrunedev, densumesh, cdxker",35,2023-03-26,2024-09-12,0
greshake/llm-security,AI engineering,Prompt engineering,1794,,,,,115,New ways of breaking app-integrated LLMs ,"greshake, shhra, eltociear",3,2023-02-19,2023-04-24,0
Syan-Lin/CyberWaifu,Applications,Bots,998,,,,,116,LLM + TTS 的真实感聊天机器人 | QQ 机器人 | 支持表情包、QQ 表情、联网搜索,Syan-Lin,1,2023-04-16,1000-01-01,0
zou-group/textgrad,AI engineering,Prompt engineering,1514,,,,,116,TextGrad: Automatic ''Differentiation'' via Text -- using large language models to backpropagate textual gradients.,"vinid, mertyg, lupantech",13,2024-06-11,2024-07-23,0
Maplemx/Agently,AI engineering,Agent,1038,,,,,118,[AI Agent Application Development Framework] - 🚀 Build AI agent native application in very few code 💬 Easy to interact with AI agent in code using structure data and chained-calls syntax 🧩 Enhance AI Agent using plugins instead of rebuild a whole new agent,"Maplemx, jsCONFIG, sujeek",11,2023-06-30,2024-09-04,0
MzeroMiko/VMamba,Model repo,Multimodal,2017,,,,,118,VMamba: Visual State Space Models，code is based on mamba,"MzeroMiko, sunsmarterjie, neverbiasu",3,2024-01-11,2024-02-02,4403
kreneskyp/ix,AI engineering,Agent,1005,,,,,119,Autonomous GPT-4 agent platform,"kreneskyp, gwc4github, BillSchumacher",5,2023-04-05,2024-03-03,0
lunary-ai/lunary,Infrastructure,Monitoring,1017,,,,,119,"The production toolkit for LLMs. Observability, prompt management and evaluations. ","hughcrt, vincelwt, 7HR4IZ3",7,2023-05-12,2024-09-06,0
llmonitor/llmonitor,Infrastructure,Monitoring,1017,,,,,119,"The production toolkit for LLMs. Observability, prompt management and evaluations. ","hughcrt, vincelwt, 7HR4IZ3",7,2023-05-12,2024-09-06,0
anthropics/hh-rlhf,Model development,Dataset engineering,1560,,,,,119,"Human preference data for ""Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback""","8enmann, dganguli, NinoRisteski",4,2022-04-10,2023-09-19,0
PKU-Alignment/safe-rlhf,Model development,Modeling & training,1294,,,,,120,Safe RLHF: Constrained Value Alignment via Safe Reinforcement Learning from Human Feedback,"XuehaiPan, rockmagma02, calico-1226",4,2023-05-15,2024-06-13,0
lyuchenyang/Macaw-LLM,Model repo,Multimodal,1517,,,,,120,"Macaw-LLM: Multi-Modal Language Modeling with Image, Video, Audio, and Text Integration","lyuchenyang, longyuewangdcu, bingshuailiu",4,2023-05-23,1000-01-01,0
zjunlp/KnowLM,Model repo,Multilingual,1196,,,,,121,An Open-sourced Knowledgable Large Language Model Framework.,"MikeDean2367, zxlzr, 12lxr",25,2023-04-01,2024-01-19,0
parthsarthi03/raptor,AI engineering,AIE framework,845,,,,,122,The official implementation of RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,"parthsarthi03, ExtReMLapin, LLLeoLi",4,2024-02-27,2024-09-03,0
karthink/gptel,Applications,Bots,1207,,,,,122,A simple LLM client for Emacs,"karthink, joaotavora, daedsidog",39,2023-03-06,2024-09-05,0
jujumilk3/leaked-system-prompts,AI engineering,Prompt engineering,985,,,,,123,Collection of leaked system prompts,"jujumilk3, OneTop4458, wassname",10,2023-05-16,2024-08-22,0
nhaouari/obsidian-textgenerator-plugin,Applications,Writing,1426,,,,,123,"Text Generator is a versatile plugin for Obsidian that allows you to generate text content using various AI providers, including OpenAI, Anthropic, Google and local models.","haouarihk, nhaouari, ckt1031",17,2022-02-27,2024-07-27,516579
landing-ai/vision-agent,AI engineering,Agent,1194,,,,,124,Vision agent,"AsiaCao, dillonalaird, humpydonkey",16,2024-02-13,2024-09-11,0
dvlab-research/LISA,Model repo,Multimodal,1748,,,,,124,"Project Page for ""LISA: Reasoning Segmentation via Large Language Model""","X-Lai, tianzhuotao, yukang2017",9,2023-08-01,2023-10-30,0
unum-cloud/usearch,Infrastructure,VectorDB,2107,,,,,124,"Fast Open-Source Search & Clustering engine × for Vectors & 🔜 Strings × in C++, C, Python, JavaScript, Rust, Java, Objective-C, Swift, C#, GoLang, and Wolfram 🔍","ashvardanian, gurgenyegoryan, mgevor",51,2023-02-22,2024-09-10,1298
Haidra-Org/AI-Horde,Infrastructure,Compute management,1056,,,,,126,A crowdsourced distributed cluster for AI art and text generation,"db0, tazlin, ResidentChief",33,2022-09-13,2024-09-11,0
eylonmiz/react-agent,Applications,Coding,1408,,,,,126,The open-source React.js Autonomous LLM Agent,"eylonmiz, adrianlamdev, areibman",6,2023-05-11,2023-11-14,0
google-research/multilingual-t5,Model repo,Multilingual,1239,,,,,127,,"lintingxue, adarob, nconstant-google",11,2020-10-22,2022-12-15,0
Cormanz/smartgpt,Applications,Workflow automation,1751,,,,,127,A program that provides LLMs with the ability to complete complex tasks using plugins.,"Cormanz, philip06, orvitpng",8,2023-04-11,2023-06-02,0
sobelio/llm-chain,AI engineering,AIE framework,1297,,,,,128,`llm-chain` is a powerful rust crate for building chains in large language models allowing you to summarise text and complete complex tasks,"williamhogman, Juzov, danbev",38,2023-03-24,2024-07-29,0
nlmatics/llmsherpa,Applications,Info aggregation,1319,,,,,129,Developer APIs to Accelerate LLM Projects,"ansukla, AaryanTR, IoanaDragan",8,2023-10-12,2024-06-28,0
Farama-Foundation/chatarena,AI engineering,Agent,1327,,,,,129,ChatArena (or Chat Arena) is a Multi-Agent Language Game Environments for LLMs. The goal is to develop communication and collaboration capabilities of AIs.,"yuxiang-wu, elliottower, ZhengyaoJiang",15,2023-03-06,2024-05-27,0
huggingface/llm-vscode,Applications,Coding,1205,,,,,130,LLM powered development for VSCode,"McPatate, antoinejeannot, HennerM",6,2023-02-16,2024-07-17,0
SHI-Labs/OneFormer,Model repo,,1437,,,,,130,"OneFormer: One Transformer to Rule Universal Image Segmentation, arxiv 2022 / CVPR 2023","praeclarumjj3, honghuis, alihassanijr",5,2022-11-02,2023-04-18,0
AI-Citizen/SolidGPT,Applications,Coding,2005,,,,,130,Developer AI Persona Search Agent,"wwwwww1020, alexgong14, Xinchunran",8,2023-08-08,2024-03-30,0
farizrahman4u/loopgpt,AI engineering,Agent,1427,,,,,131,Modular Auto-GPT Framework,"FayazRahman, farizrahman4u, iskandarreza",10,2023-04-14,2024-03-10,0
openai/simple-evals,AI engineering,Evals,1499,,,,,131,,"yuchenhe07, kzl-openai, ted-at-openai",4,2024-04-11,2024-08-06,0
mit-han-lab/smoothquant,Model development,Inference optimization,1175,,,,,133,[ICML 2023] SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,"Guangxuan-Xiao, tonylins, songhan",3,2022-11-17,2023-02-10,0
lxe/simple-llm-finetuner,Model development,Modeling & training,2046,,,,,133,Simple UI for LLM Model Finetuning,"lxe, vadi2, 64-bit",5,2023-03-22,2023-04-23,0
jina-ai/thinkgpt,AI engineering,Agent,1527,,,,,134,Agent techniques to augment your LLM and push it beyong its limits,"alaeddine-13, hanxiao, eltociear",3,2023-04-14,2023-04-30,0
fiatrete/OpenDAN-Personal-AI-OS,Applications,Workflow automation,1650,,,,,134,"OpenDAN is an open source Personal AI OS , which consolidates various AI modules in one place for your personal use.","waterflier, fiatrete, photosssa",15,2023-05-11,2024-04-23,0
marella/ctransformers,AI engineering,AIE framework,1789,,,,,135,Python bindings for the Transformer models implemented in C/C++ using GGML library.,"marella, abacaj, jncraton",6,2023-05-14,2023-08-08,0
labmlai/labml,Infrastructure,Monitoring,1999,,,,,135,🔎 Monitor deep learning model training and hardware usage from your mobile phone 📱,"vpj, lakshith-403, hnipun",8,2018-11-16,2024-09-09,0
google-deepmind/materials_discovery,Model repo,Multimodal,865,,,,,136,,amilmerchant,1,2023-11-28,1000-01-01,0
mosaicml/streaming,Infrastructure,Data management,1075,,,,,136,A Data Streaming Library for Efficient Neural Network Training,"karan6181, knighton, snarayan21",50,2022-06-09,2024-09-10,15
xlang-ai/instructor-embedding,Model development,Modeling & training,1833,,,,,136,"[ACL 2023] One Embedder, Any Task: Instruction-Finetuned Text Embeddings","Harry-hash, taoyds, hongjin-su",14,2022-12-17,2024-08-25,0
ollama/ollama-js,AI engineering,AI interface,1930,,,,,136,Ollama JavaScript library,"BruceMacD, saul-jb, jmorganca",18,2023-09-13,2024-09-03,0
facebookresearch/multimodal,Model development,Modeling & training,1419,,,,,137,TorchMultimodal is a PyTorch library for training state-of-the-art multimodal multi-task models at scale.,"langong347, ebsmothers, ankitade",34,2022-01-27,1000-01-01,0
huggingface/datatrove,Model development,Dataset engineering,1927,,,,,137,Freeing data processing from scripting madness by providing a set of platform-agnostic customizable pipeline processing blocks.,"guipenedo, alexchapeaux, hynky1999",32,2023-06-14,2024-09-11,0
refuel-ai/autolabel,Model development,Dataset engineering,2004,,,,,137,"Label, clean and enrich text datasets with LLMs.","rajasbansal, nihit, DhruvaBansal00",19,2023-03-23,2024-09-12,31
dvorka/mindforger,Applications,Info aggregation,2243,,,,,137,Thinking notebook and Markdown editor.,"dvorka, vlastahajek, COMPUTER102",9,2017-12-25,2023-12-25,24610
jina-ai/langchain-serve,AI engineering,AIE framework,1601,,,,,138,⚡ Langchain apps in production using Jina & FastAPI,"deepankarm, zac-li, hanxiao",6,2023-03-21,2023-08-22,0
predibase/lorax,Infrastructure,Serving,2073,,,,,138,Multi-LoRA inference server that scales to 1000s of fine-tuned LLMs,"OlivierDehaene, tgaddair, magdyksaleh",57,2023-10-20,2024-08-21,64
laiyer-ai/llm-guard,AI engineering,Prompt engineering,1117,,,,,139,The Security Toolkit for LLM Interactions,"asofter, CandiedCode, krrishdholakia",14,2023-07-27,2024-09-07,0
psychic-api/rag-stack,AI engineering,AIE framework,1455,,,,,139,"🤖 Deploy a private ChatGPT alternative hosted within your VPC. 🔮 Connect it to your organization's knowledge base and use it as a corporate oracle. Supports open-source LLMs like Llama 2, Falcon, and GPT4All.","Ayan-Bandyopadhyay, ambardhesi, jasonwcfan",6,2023-07-12,2023-09-11,0
google/generative-ai-swift,AI engineering,AIE framework,901,,,,,140,The official Swift library for the Google Gemini API,"andrewheard, peterfriese, keertk",17,2023-04-25,2024-08-22,0
openai/Video-Pre-Training,Model repo,Multimodal,1270,,,,,140,Video PreTraining (VPT): Learning to Act by Watching Unlabeled Online Videos,"brandonhoughton, Miffyli, Matoi647",5,2022-06-22,2024-06-10,0
nlmatics/nlm-ingestor,Applications,Info aggregation,1026,,,,,141,This repo provides the server side code for llmsherpa API to connect. It includes parsers for various file formats.,"ansukla, jamesvillarrubia, kiran-nlmatics",10,2024-01-17,2024-07-26,0
openai/following-instructions-human-feedback,Model repo,,1166,,,,,141,,"clwainwright, ryan-lowe",2,2022-01-25,1000-01-01,0
ItsPi3141/alpaca-electron,Applications,Bots,1283,,,,,141,The simplest way to run Alpaca (and other LLaMA-based local LLMs) on your own computer,"ItsPi3141, W48B1T, 8bit-coder",7,2023-03-24,2024-04-04,39955
time-series-foundation-models/lag-llama,Model repo,,1191,,,,,142,Lag-Llama: Towards Foundation Models for Probabilistic Time Series Forecasting,"ashok-arjun, kashif, araghukas",5,2024-02-07,2024-09-08,0
neuralmagic/sparseml,Model development,Inference optimization,2037,,,,,142,"Libraries for applying sparsification recipes to neural networks with a few lines of code, enabling faster and smaller models","bfineran, markurtz, rahul-tuli",42,2020-12-11,2024-07-03,260
swirlai/swirl-search,Applications,Info aggregation,1670,,,,,144,SWIRL AI Connect: AI infrastructure software that powers your Search & Retrieval Augmented Generation (RAG) applications. Simplify and enhance your AI pipelines with seamless integration of large language models (LLMs) and data sources.,"erikspears, dnicodemus, sidprobstein",29,2022-04-08,2024-09-09,0
openai/grade-school-math,AI engineering,Evals,991,,,,,145,,"vineetsk10, kcobbe",2,2021-10-20,2021-11-03,0
leondz/garak,AI engineering,Evals,1255,,,,,145,LLM vulnerability scanner,"leondz, jmartin-tech, erickgalinkin",22,2023-05-10,2024-09-10,0
moj-analytical-services/splink,AI engineering,Dataset engineering,1267,,,,,145,"Fast, accurate and scalable probabilistic data linkage with support for multiple SQL backends","RobinL, ADBond, RossKen",58,2019-11-22,2024-09-11,0
Link-AGI/AutoAgents,AI engineering,Agent,1151,,,,,146,[IJCAI 2024] Generate different roles for GPTs to form a collaborative entity for complex tasks.,"iCGY96, shiyemin, s1w3",10,2023-08-21,2024-04-16,0
THUDM/AgentBench,AI engineering,Evals,2112,,,,,146,A Comprehensive Benchmark to Evaluate LLMs as Agents (ICLR'24),"HenryCai11, Longin-Yu, zhc7",10,2023-07-28,2024-08-13,0
mattzcarey/code-review-gpt,Applications,Coding,1528,,,,,147,"Code review powered by LLMs (OpenAI GPT4, Sonnet 3.5) & Embeddings ⚡️ Improve code quality and catch bugs before you break production 🚀 Lives in your Github/GitLab/Azure DevOps CI","lizacullis, SEBRATHEZEBRA, mattzcarey",25,2023-07-06,2024-09-03,0
jina-ai/dev-gpt,Applications,Coding,1741,,,,,147,Your Virtual Development Team,"florian-hoenicke, joschkabraun, francescor",7,2023-03-17,2023-06-06,0
gligen/GLIGEN,Model repo,Multimodal,1968,,,,,147,Open-Set Grounded Text-to-Image Generation,"Yuheng-Li, haotian-liu, ChunyuanLI",5,2023-01-13,2023-03-30,0
google-research/big_vision,Model development,Modeling & training,2193,,,,,147,"Official codebase used to develop Vision Transformer, SigLIP, MLP-Mixer, LiT and more.","akolesnikoff, lucasb-eyer, andsteing",12,2022-04-04,2024-07-12,0
traceloop/openllmetry,Infrastructure,Monitoring,1819,,,,,148,"Open-source observability for your LLM application, based on OpenTelemetry","nirga, galkleinman, paolorechia",45,2023-09-02,2024-09-05,0
BAAI-Agents/Cradle,Applications,Workflow automation,1703,,,,,149,"The Cradle framework is a first attempt at General Computer Control (GCC). Cradle supports agents to ace any computer task by enabling strong reasoning abilities, self-improvment, and skill curation, in a standardized general environment with minimal requirements.","DVampire, tellarin, XinrunXu",7,2024-03-03,2024-09-08,0
Canner/WrenAI,Applications,Coding,1683,,,,,150,🚀 Open-source SQL AI Agent for Text-to-SQL. Make Text2SQL Easy! 🙌,"cyyeh, onlyjackfrost, wwwy3y3",17,2024-03-13,2024-09-11,2641
IST-DASLab/gptq,Model development,Inference optimization,1870,,,,,150,"Code for the ICLR 2023 paper ""GPTQ: Accurate Post-training Quantization of Generative Pretrained Transformers"".","efrantar, sashkboos, brian-fb",5,2022-10-19,2023-07-10,0
spcl/graph-of-thoughts,AI engineering,Prompt engineering,2049,,,,,150,"Official Implementation of ""Graph of Thoughts: Solving Elaborate Problems with Large Language Models""","nblach, rgersten, aleskubicek",4,2023-08-18,2024-06-03,0
FasterDecoding/Medusa,Model development,Inference optimization,2201,,,,,150,Medusa: Simple Framework for Accelerating LLM Generation with Multiple Decoding Heads,"leeyeehoo, ctlllll, harveyp123",10,2023-09-10,2024-02-27,0
google-research/FLAN,Model repo,,1454,,,,,152,,"lehougoogle, Shayne13, shayne-longpre",6,2021-08-21,2023-06-02,0
wangzhaode/mnn-llm,Infrastructure,Toolings,1409,,,,,154,llm deploy project based mnn.,"wangzhaode, WhisperChi, kekxv",10,2023-03-17,2024-06-18,55541
eli64s/readme-ai,Applications,Coding,1444,,,,,154,"README file generator, powered by large language model APIs 👾","eli64s, hansipie, Zxilly",4,2023-01-16,2024-08-21,0
MineDojo/MineDojo,AI engineering,Agent,1748,,,,,154,Building Open-Ended Embodied Agents with Internet-Scale Knowledge,"yunfanjiang, DrJimFan, wangguanzhi",8,2022-06-18,2023-08-29,0
eumemic/ai-legion,AI engineering,Agent,1339,,,,,155,An LLM-powered autonomous agent platform,"eumemic, MalikMAlna, TheBitmonkey",6,2023-04-10,2023-04-16,0
dot-agent/nextpy,AI engineering,Agent,2181,,,,,155,🤖Self-Modifying Framework from the Future 🔮 World's First AMS,"anubrag, shravya-34, Raj4646",12,2023-08-07,2024-03-25,0
rotemweiss57/gpt-newspaper,Applications,Info aggregation,1155,,,,,156,GPT based autonomous agent designed to create personalized newspapers tailored to user preferences. ,"rotemweiss57, gabimitchell4, filiurskyi",5,2024-01-20,2024-02-25,0
griptape-ai/griptape,AI engineering,AIE framework,1914,,,,,156,"Modular Python framework for AI agents and workflows with chain-of-thought reasoning, tools, and memory. ","vasinov, collindutter, andrewfrench",28,2023-01-14,2024-06-14,0
google-deepmind/dramatron,Applications,Writing,949,,,,,157,Dramatron uses large language models to generate coherent scripts and screenplays.,"piotrmirowski, korymath, jlove29",3,2022-12-07,2023-06-11,0
OS-Copilot/FRIDAY,Applications,Workflow automation,1451,,,,,157,An self-improving embodied conversational agent seamlessly integrated into the operating system to automate our daily tasks. ,"heroding77, hccngu, Tamiflu233",12,2024-02-02,2024-09-09,0
AgentOps-AI/agentops,AI engineering,Agent,1683,,,,,158,"Python SDK for agent monitoring, LLM cost tracking, benchmarking, and more. Integrates with most LLMs and agent frameworks like CrewAI, Langchain, and Autogen","areibman, bboynton97, HowieG",17,2023-08-15,2024-09-11,0
